Neutral -88183.0216661 -54194.969525 -16693.6170554 10972.7945517 23448.8836514 33808.9086027 31354.785481 18326.8163554 5014.56430777 -4838.84438633
Neutral -82528.3916661 -54129.159525 -14126.2170554 11372.9345517 23554.9836514 35605.3076027 29910.416481 20311.9143554 3353.92330777 -3847.78738633
Neutral -80622.0516661 -62761.849525 -11989.4970554 8238.95455165 22431.0876514 34947.0576027 28580.011481 19806.2343554 2489.63630777 -3497.53738633
Neutral -70499.3216661 -69642.099525 -3248.88705538 5580.49455165 24554.8536514 36386.8476027 26767.841481 22250.3443554 815.116307769 -1208.86738633
Neutral -59084.5216661 -86867.599525 9714.51294462 -6027.99544835 32180.2036514 32057.7936027 28341.841481 24770.1443554 -2252.92369223 3332.88261367
Neutral -50313.0216661 -94086.799525 14390.8129446 -9873.49544835 33934.0936514 31826.5776027 27865.271481 25276.0443554 -3168.46369223 2147.62261367
Neutral -42578.8216661 -103252.799525 18732.0129446 -12229.9954483 34146.5936514 30968.0876027 26373.711481 28085.4643554 -5907.33369223 5416.84261367
Neutral -37143.2216661 -110387.999525 21283.9129446 -18840.8954483 40095.0936514 24669.6776027 30655.254481 22653.3443554 -3731.88369223 3979.58261367
Neutral -44727.2216661 -99053.099525 11029.7129446 -10178.4954483 36696.6936514 26908.7076027 31637.691481 20835.4343554 282.136307769 879.542613668
Neutral -38550.0216661 -105472.099525 20999.0129446 -15133.7954483 41189.6936514 25772.2676027 33518.781481 18678.2843554 1737.61630777 141.392613668
Neutral -31383.7216661 -114725.799525 28509.3129446 -19407.9954483 43092.3936514 25082.2976027 36790.471481 16461.1613554 5219.10630777 -2689.28738633
Neutral -29583.4216661 -115554.399525 24210.9129446 -17191.7954483 40403.0936514 24989.1676027 35128.871481 20198.1543554 511.426307769 1949.39261367
Neutral -31283.7216661 -103734.799525 26662.8129446 -13117.8954483 42264.0936514 28946.8076027 32973.221481 25035.9943554 -2394.09369223 5691.14261367
Neutral -39951.0216661 -107421.999525 20188.6129446 -17256.6954483 41646.4936514 25624.2076027 32983.721481 19119.6143554 1596.85630777 -431.627386332
Neutral -39182.3216661 -103656.899525 12049.3129446 -8771.79544835 35458.4936514 28311.6676027 30260.469481 23113.2543554 -1719.73369223 1930.22261367
Neutral -36623.0216661 -92340.799525 14197.3129446 -6065.89544835 38023.4936514 28477.7076027 33426.961481 22955.5243554 2972.78630777 -1009.02738633
Neutral -25263.4216661 -56023.445525 26173.6129446 13383.2945517 37672.8936514 34171.5876027 30560.262481 10429.2243554 -4104.83369223 -16269.1573863
Neutral 26817.3783339 9940.10047503 27481.6129446 13002.5245517 -4662.60634858 -14518.3523973 -21348.148519 -12733.9356446 -12862.4636922 -5551.83628633
Neutral 94137.3783339 98904.800475 50506.5129446 -3761.69544835 -65473.4063486 -80964.8523973 -75637.248519 -46044.6356446 -1530.91369223 25078.7426137
Neutral 107084.378334 103701.800475 37913.3129446 -6190.89544835 -67793.6063486 -75574.8523973 -65519.148519 -38374.7356446 -2443.80369223 8185.74261367
Neutral 77726.3783339 58493.800475 204.412944615 -8292.99544835 -38935.0063486 -43615.4523973 -32853.148519 -15184.1356446 6803.54630777 1138.74261367
Neutral 63489.3783339 49623.800475 -6622.28705538 -13782.1954483 -38135.0063486 -42154.8523973 -17554.748519 9906.32435543 16285.8363078 5509.74261367
Neutral 50737.3783339 43464.000475 -2456.58705538 -7028.29544835 -36777.4063486 -38064.6523973 -8905.84851898 18816.3343554 21733.6363078 12808.6426137
Neutral 69496.3783339 42394.100475 -6051.78705538 -12733.8954483 -48012.0063486 -54112.5523973 -6690.54851898 23831.3943554 17405.1363078 15226.3426137
