Angry -1057877.26384 -14292.991817 173918.40068 165850.287257 189319.034201 91745.1070856 66170.1247316 -35014.6315349 479.896664052 2588.82599476
Angry -1066380.26384 6574.00818305 183085.39068 188663.197257 204304.404201 97498.0070856 67837.3597316 -43298.6515349 -8342.90333595 -6256.03400524
Angry -1088270.36384 11848.008183 204281.99068 190878.297257 228732.734201 124038.807086 71201.8147316 -36846.7015349 7503.95666405 602.255994758
Angry 338064.73616 895605.608183 651158.79068 310652.997257 52349.634201 -155818.292914 -159577.875268 -393090.341535 -356776.903336 -242739.774005
Angry 795584.73616 221728.608183 315983.79068 588413.997257 -122241.365799 -465554.292914 -182742.875268 -22799.3415349 -373412.903336 -57120.7740052
Angry 947764.73616 -55094.091817 224218.99068 956265.997257 19148.634201 -388055.292914 -304517.875268 64115.6584651 -279945.903336 -524512.774005
Angry 885074.73616 17321.808183 101074.69068 275853.997257 52178.634201 -149255.292914 -645808.875268 -82945.4415349 -77369.8033359 -270171.774005
Angry 917884.73616 521787.608183 129387.39068 246451.397257 61358.634201 -305647.292914 -621753.875268 -173131.341535 72382.6966641 66116.7259948
Angry 493314.73616 77618.608183 -134665.20932 404682.997257 227817.734201 -367105.292914 -347194.875268 -116109.741535 -236609.903336 -262665.774005
Angry -480780.26384 327014.608183 179690.29068 246001.097257 131050.834201 -129720.292914 -211179.875268 -109779.741535 -47063.5033359 -90250.3740052
Angry 560444.73616 34115.708183 -131869.20932 240458.397257 102144.634201 -210260.292914 -268594.875268 38482.7584651 -48592.6033359 -158668.774005
Angry 1086324.73616 53596.508183 -259647.20932 178859.797257 15911.634201 -196390.292914 -693007.875268 -316133.341535 68063.6966641 166114.225995
Angry 1038524.73616 15905.208183 -932141.20932 -297014.002743 411452.634201 147359.307086 -199010.875268 307197.658465 141451.096664 -201525.774005
Angry 825614.73616 278979.608183 -405253.20932 -594212.002743 -443561.365799 189081.107086 861756.124732 587342.658465 37261.4966641 -168595.774005
Angry 818854.73616 124263.608183 -752909.20932 -589251.002743 193277.634201 221264.707086 189141.124732 30080.8584651 447551.096664 -117984.774005
Angry 628994.73616 41660.508183 -576192.20932 -409676.002743 -32557.365799 214723.707086 219580.124732 130490.658465 476904.096664 -119964.774005
Angry 173004.73616 17909.008183 -416855.20932 -268265.002743 120712.834201 48830.5070856 106353.324732 377109.658465 204347.096664 -49184.6740052
Angry -134085.26384 -94095.791817 -244107.20932 115686.497257 271452.934201 25389.3070856 -223404.875268 -159349.341535 -107850.903336 183053.225995
